home_team,home_score,away_team,away_score,tournament
Temper,15,Kentucky Flying Circus,8,Kentucky Flying Circus Presents: The Three Ring Rally
Temper,15,Enigma,4,Kentucky Flying Circus Presents: The Three Ring Rally
Pocket City Approach,7,Kentucky Flying Circus,15,Kentucky Flying Circus Presents: The Three Ring Rally
Temper,15,CaSTLe,4,Kentucky Flying Circus Presents: The Three Ring Rally
Enigma,15,Los Heros,10,Kentucky Flying Circus Presents: The Three Ring Rally
Breaker's Mark,11,Pocket City Approach,15,Kentucky Flying Circus Presents: The Three Ring Rally
Kentucky Flying Circus,15,Mistress,6,Kentucky Flying Circus Presents: The Three Ring Rally
Breaker's Mark,W,CaSTLe,F,Kentucky Flying Circus Presents: The Three Ring Rally
Mistress,10,Breaker's Mark,13,Kentucky Flying Circus Presents: The Three Ring Rally
Los Heros,8,CaSTLe,15,Kentucky Flying Circus Presents: The Three Ring Rally
Enigma,15,Pocket City Approach,9,Kentucky Flying Circus Presents: The Three Ring Rally
Los Heros,11,Mistress,8,Kentucky Flying Circus Presents: The Three Ring Rally
Team Rocket,6,Train Wreck,13,PB&J
Presidio de Bexar,13,Hypnotoad,4,PB&J
H.I.P,13,Team Rocket,3,PB&J
Presidio de Bexar,7,Train Wreck,13,PB&J
H.I.P,13,Hypnotoad,4,PB&J
Presidio de Bexar,13,Team Rocket,4,PB&J
H.I.P,13,Presidio de Bexar,9,PB&J
Hypnotoad,6,Train Wreck,13,PB&J
H.I.P,13,Train Wreck,3,PB&J
Hypnotoad,13,Team Rocket,6,PB&J
Riverside Ultimate,13,Riverside Messengers,3,PB&J
Space City Eclipse,13,Zero Gravity,5,PB&J
Riverside Ultimate,10,Space City Eclipse,11,PB&J
Zero Gravity,13,Riverside Messengers,5,PB&J
Riverside Ultimate,13,Zero Gravity,6,PB&J
Space City Eclipse,13,Riverside Messengers,10,PB&J
Space City Ignite,W,Huck It Trebek Tribute Band,L,PB&J
Rawhide,13,Space City Fuel,7,PB&J
Space City Ignite,13,Rawhide,4,PB&J
Space City Fuel,10,Huck It Trebek Tribute Band,11,PB&J
Space City Ignite,13,Space City Fuel,7,PB&J
Rawhide,13,Huck It Trebek Tribute Band,4,PB&J
Riverside Ultimate,13,Space City Fuel,6,PB&J
Space City Eclipse,13,Huck It Trebek Tribute Band,6,PB&J
Space City Ignite,13,Zero Gravity,7,PB&J
Rawhide,13,Riverside Messengers,7,PB&J
H.I.P,11,Space City Ignite,9,PB&J
H.I.P,13,Riverside Ultimate,6,PB&J
Space City Ignite,W,Presidio de Bexar,L,PB&J
Zero Gravity,1,H.I.P,13,PB&J
Rawhide,3,Riverside Ultimate,13,PB&J
Train Wreck,5,Space City Ignite,13,PB&J
Presidio de Bexar,11,Space City Eclipse,10,PB&J
Zero Gravity,11,Huck It Trebek Tribute Band,6,PB&J
Space City Fuel,W,Huck It Trebek Tribute Band,F,PB&J
Space City Fuel,13,Hypnotoad,7,PB&J
Space City Fuel,13,Team Rocket,5,PB&J
Hypnotoad,W,Riverside Messengers,L,PB&J
Zero Gravity,10,Train Wreck,13,PB&J
Zero Gravity,11,Rawhide,10,PB&J
Train Wreck,9,Space City Eclipse,8,PB&J
Riverside Ultimate,13,Presidio de Bexar,9,PB&J
Team Rocket,11,Riverside Messengers,8,PB&J
Garden State Ultimate,13,Drago,7,8th Annual Nucci's Cup
Watchdogs,6,Colorblind,13,8th Annual Nucci's Cup
Lone Wolves,13,Devyl U19B,3,8th Annual Nucci's Cup
Drago,13,Devyl U19B,5,8th Annual Nucci's Cup
Garden State Ultimate,13,Colorblind,4,8th Annual Nucci's Cup
Watchdogs,10,Lone Wolves,13,8th Annual Nucci's Cup
Garden State Ultimate,13,Lone Wolves,3,8th Annual Nucci's Cup
Watchdogs,11,Devyl U19B,10,8th Annual Nucci's Cup
Colorblind,8,Drago,13,8th Annual Nucci's Cup
Colorblind,13,Devyl U19B,4,8th Annual Nucci's Cup
Garden State Ultimate,13,Watchdogs,5,8th Annual Nucci's Cup
Lone Wolves,11,Drago,13,8th Annual Nucci's Cup
Watchdogs,11,Drago,13,8th Annual Nucci's Cup
Lone Wolves,14,Colorblind,12,8th Annual Nucci's Cup
Garden State Ultimate,13,Devyl U19B,1,8th Annual Nucci's Cup
Richmond Floodwall,8,Genny Tall Boys,15,8th Annual Nucci's Cup
Town Hall Stars,15,Possum Stompers,12,8th Annual Nucci's Cup
Richmond Floodwall,15,Westchester Magma Bears,10,8th Annual Nucci's Cup
Town Hall Stars,15,Genny Tall Boys,12,8th Annual Nucci's Cup
Richmond Floodwall,11,Town Hall Stars,10,8th Annual Nucci's Cup
Westchester Magma Bears,3,Possum Stompers,15,8th Annual Nucci's Cup
Richmond Floodwall,15,Possum Stompers,13,8th Annual Nucci's Cup
Westchester Magma Bears,11,Genny Tall Boys,15,8th Annual Nucci's Cup
Genny Tall Boys,12,Possum Stompers,15,8th Annual Nucci's Cup
Town Hall Stars,15,Westchester Magma Bears,9,8th Annual Nucci's Cup
Town Hall Stars,15,Possum Stompers,12,8th Annual Nucci's Cup
Garden State Ultimate,13,Town Hall Stars,15,8th Annual Nucci's Cup
Richmond Floodwall,12,Possum Stompers,15,8th Annual Nucci's Cup
Garden State Ultimate,15,Genny Tall Boys,6,8th Annual Nucci's Cup
Town Hall Stars,15,Lone Wolves,5,8th Annual Nucci's Cup
Richmond Floodwall,15,Colorblind,12,8th Annual Nucci's Cup
Drago,7,Possum Stompers,15,8th Annual Nucci's Cup
Garden State Ultimate,15,Richmond Floodwall,5,8th Annual Nucci's Cup
Genny Tall Boys,0,Colorblind,0,8th Annual Nucci's Cup
Genny Tall Boys,14,Lone Wolves,12,8th Annual Nucci's Cup
Colorblind,15,Drago,13,8th Annual Nucci's Cup
Watchdogs,7,Westchester Magma Bears,15,8th Annual Nucci's Cup
Westchester Magma Bears,15,Devyl U19B,8,8th Annual Nucci's Cup
Prairie Fire,13,Zero Gravity,3,Texas 2 Finger
H.I.P,13,Sick Katz,4,Texas 2 Finger
Hypnotoad,12,Drought Ultimate,11,Texas 2 Finger
Prairie Fire,13,Sick Katz,4,Texas 2 Finger
Zero Gravity,11,Drought Ultimate,7,Texas 2 Finger
H.I.P,13,Hypnotoad,5,Texas 2 Finger
Prairie Fire,13,Drought Ultimate,1,Texas 2 Finger
H.I.P,13,Zero Gravity,3,Texas 2 Finger
Hypnotoad,10,Sick Katz,13,Texas 2 Finger
Prairie Fire,13,Hypnotoad,1,Texas 2 Finger
H.I.P,13,Drought Ultimate,1,Texas 2 Finger
Zero Gravity,6,Sick Katz,13,Texas 2 Finger
Prairie Fire,13,H.I.P,7,Texas 2 Finger
Zero Gravity,11,Hypnotoad,12,Texas 2 Finger
Sick Katz,13,Drought Ultimate,7,Texas 2 Finger
PLEX,13,Crude Ultimate,3,Texas 2 Finger
Riverside Ultimate,11,Texas Two Step,8,Texas 2 Finger
Smokestack,13,Huck It Trebek Tribute Band,6,Texas 2 Finger
PLEX,13,Texas Two Step,5,Texas 2 Finger
Riverside Ultimate,9,Smokestack,10,Texas 2 Finger
Crude Ultimate,13,Huck It Trebek Tribute Band,6,Texas 2 Finger
PLEX,13,Huck It Trebek Tribute Band,2,Texas 2 Finger
Riverside Ultimate,11,Crude Ultimate,8,Texas 2 Finger
Smokestack,6,Texas Two Step,8,Texas 2 Finger
PLEX,13,Smokestack,5,Texas 2 Finger
Riverside Ultimate,12,Huck It Trebek Tribute Band,7,Texas 2 Finger
Crude Ultimate,10,Texas Two Step,9,Texas 2 Finger
PLEX,13,Riverside Ultimate,5,Texas 2 Finger
Crude Ultimate,7,Smokestack,11,Texas 2 Finger
Texas Two Step,11,Huck It Trebek Tribute Band,8,Texas 2 Finger
Prairie Fire,13,H.I.P,8,Texas 2 Finger
Prairie Fire,15,Smokestack,1,Texas 2 Finger
H.I.P,13,PLEX,9,Texas 2 Finger
Prairie Fire,15,Crude Ultimate,3,Texas 2 Finger
Smokestack,15,Sick Katz,5,Texas 2 Finger
H.I.P,15,Riverside Ultimate,7,Texas 2 Finger
PLEX,15,Hypnotoad,1,Texas 2 Finger
PLEX,13,Smokestack,6,Texas 2 Finger
Crude Ultimate,8,Riverside Ultimate,14,Texas 2 Finger
Crude Ultimate,W,Sick Katz,F,Texas 2 Finger
Riverside Ultimate,W,Hypnotoad,F,Texas 2 Finger
Hypnotoad,7,Sick Katz,1,Texas 2 Finger
Huck It Trebek Tribute Band,3,Texas Two Step,11,Texas 2 Finger
Zero Gravity,9,Huck It Trebek Tribute Band,10,Texas 2 Finger
Drought Ultimate,5,Texas Two Step,15,Texas 2 Finger
Zero Gravity,12,Drought Ultimate,11,Texas 2 Finger
Omen,13,Riders of Brohan,0,ATL Classic
ATLiens,9,Birmingham,10,ATL Classic
Omen,9,ATLiens,4,ATL Classic
Bullet,13,Birmingham,2,ATL Classic
Birmingham,13,Riders of Brohan,2,ATL Classic
Bullet,11,ATLiens,4,ATL Classic
Omen,13,Birmingham,6,ATL Classic
Bullet,13,Riders of Brohan,0,ATL Classic
Omen,6,Bullet,8,ATL Classic
ATLiens,13,Riders of Brohan,1,ATL Classic
Freaks Uv Nature,13,Pilot,8,ATL Classic
Cockfight,13,Jello Yackets,7,ATL Classic
Freaks Uv Nature,13,Cockfight,7,ATL Classic
Strong Hand,12,Jello Yackets,10,ATL Classic
Jello Yackets,7,Pilot,9,ATL Classic
Strong Hand,12,Cockfight,10,ATL Classic
Freaks Uv Nature,13,Jello Yackets,6,ATL Classic
Strong Hand,12,Pilot,8,ATL Classic
Freaks Uv Nature,12,Strong Hand,5,ATL Classic
Cockfight,10,Pilot,9,ATL Classic
Six Pack,11,Voodoo,7,ATL Classic
Ironmen,13,Dune Cats,7,ATL Classic
Six Pack,13,Dune Cats,5,ATL Classic
Ironmen,8,Voodoo,10,ATL Classic
Six Pack,13,Ironmen,9,ATL Classic
Voodoo,11,Dune Cats,7,ATL Classic
Shrimp Boat,10,ShawShack Redemption,12,ATL Classic
Vicious Cycle,13,Jurassic,2,ATL Classic
Shrimp Boat,13,Jurassic,2,ATL Classic
Vicious Cycle,8,ShawShack Redemption,9,ATL Classic
Shrimp Boat,4,Vicious Cycle,13,ATL Classic
ShawShack Redemption,13,Jurassic,7,ATL Classic
Six Pack,10,ShawShack Redemption,7,ATL Classic
Voodoo,6,Shrimp Boat,11,ATL Classic
Ironmen,8,Vicious Cycle,9,ATL Classic
Dune Cats,12,Jurassic,8,ATL Classic
Bullet,13,Omen,10,ATL Classic
Bullet,13,ShawShack Redemption,9,ATL Classic
Omen,13,Freaks Uv Nature,9,ATL Classic
Bullet,13,Shrimp Boat,7,ATL Classic
ShawShack Redemption,13,Strong Hand,12,ATL Classic
Omen,13,Six Pack,11,ATL Classic
Vicious Cycle,6,Freaks Uv Nature,13,ATL Classic
ShawShack Redemption,4,Freaks Uv Nature,13,ATL Classic
Shrimp Boat,11,Vicious Cycle,7,ATL Classic
Shrimp Boat,13,Strong Hand,6,ATL Classic
Six Pack,11,Vicious Cycle,12,ATL Classic
Strong Hand,9,Six Pack,13,ATL Classic
Pilot,F,Ironmen,W,ATL Classic
Pilot,13,Voodoo,9,ATL Classic
Ironmen,13,ATLiens,9,ATL Classic
Birmingham,10,Pilot,12,ATL Classic
ATLiens,11,Cockfight,10,ATL Classic
Birmingham,7,Cockfight,13,ATL Classic
Voodoo,13,ATLiens,7,ATL Classic
Dune Cats,13,Jello Yackets,10,ATL Classic
Riders of Brohan,4,Dune Cats,13,ATL Classic
Jurassic,10,Jello Yackets,13,ATL Classic
Riders of Brohan,8,Jurassic,13,ATL Classic
Phoenix,15,Youngbloods,8,Gotham Invite
Night's Watch,14,Stonefish,10,Gotham Invite
Phoenix,15,Stonefish,8,Gotham Invite
Night's Watch,14,Youngbloods,11,Gotham Invite
Phoenix,13,Night's Watch,10,Gotham Invite
Youngbloods,14,Stonefish,12,Gotham Invite
Big Wrench,15,Providence Pack Dogs,11,Gotham Invite
John Doe,15,Providence Pack Dogs,14,Gotham Invite
Big Wrench,15,John Doe,10,Gotham Invite
Phoenix,12,Big Wrench,7,Gotham Invite
Night's Watch,15,Providence Pack Dogs,9,Gotham Invite
Youngbloods,9,John Doe,15,Gotham Invite
John Doe,14,Providence Pack Dogs,13,Gotham Invite
Night's Watch,13,Youngbloods,14,Gotham Invite
Big Wrench,15,Stonefish,8,Gotham Invite
Phoenix,15,John Doe,10,Gotham Invite
Youngbloods,5,Big Wrench,15,Gotham Invite
Phoenix,13,Big Wrench,15,Gotham Invite
John Doe,5,Youngbloods,11,Gotham Invite
Providence Pack Dogs,F,Stonefish,W,Gotham Invite
Night's Watch,15,Stonefish,6,Gotham Invite
Right Coast Ultimate,4,The Cat's Meow,13,Swanboat
Vicious Cycle,13,Central Florida (B),5,Swanboat
UpRoar,11,Cartel,6,Swanboat
Omen,13,Cartel,7,Swanboat
Vicious Cycle,13,The Cat's Meow,5,Swanboat
UpRoar,13,Central Florida (B),4,Swanboat
Omen,10,Vicious Cycle,7,Swanboat
Right Coast Ultimate,6,Central Florida (B),13,Swanboat
UpRoar,13,The Cat's Meow,5,Swanboat
Omen,13,Right Coast Ultimate,6,Swanboat
Cartel,12,The Cat's Meow,4,Swanboat
Vicious Cycle,11,UpRoar,12,Swanboat
Cartel,0,Right Coast Ultimate,0,Swanboat
Omen,0,Central Florida (B),0,Swanboat
The Cat's Meow,8,Central Florida (B),13,Swanboat
Cartel,13,Central Florida (B),2,Swanboat
Vicious Cycle,13,Right Coast Ultimate,5,Swanboat
Omen,9,UpRoar,10,Swanboat
Vicious Cycle,7,Cartel,4,Swanboat
Omen,13,The Cat's Meow,2,Swanboat
UpRoar,13,Right Coast Ultimate,6,Swanboat
UpRoar,5,Omen,10,Swanboat
Cartel,7,Vicious Cycle,6,Swanboat
The Cat's Meow,9,Central Florida (B),6,Swanboat
Doublewide,8,PoNY,13,Chesapeake Invite (TCT Pro-Elite Challenge)
GOAT,12,Madcow,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Ring of Fire,13,Boost FC,3,Chesapeake Invite (TCT Pro-Elite Challenge)
Doublewide,13,GOAT,10,Chesapeake Invite (TCT Pro-Elite Challenge)
PoNY,13,Ring of Fire,10,Chesapeake Invite (TCT Pro-Elite Challenge)
Madcow,11,Boost FC,9,Chesapeake Invite (TCT Pro-Elite Challenge)
Doublewide,10,Ring of Fire,12,Chesapeake Invite (TCT Pro-Elite Challenge)
GOAT,7,Boost FC,13,Chesapeake Invite (TCT Pro-Elite Challenge)
PoNY,8,Madcow,13,Chesapeake Invite (TCT Pro-Elite Challenge)
Doublewide,13,Boost FC,7,Chesapeake Invite (TCT Pro-Elite Challenge)
GOAT,9,PoNY,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Ring of Fire,13,Madcow,8,Chesapeake Invite (TCT Pro-Elite Challenge)
Doublewide,13,Madcow,8,Chesapeake Invite (TCT Pro-Elite Challenge)
GOAT,12,Ring of Fire,10,Chesapeake Invite (TCT Pro-Elite Challenge)
PoNY,13,Boost FC,5,Chesapeake Invite (TCT Pro-Elite Challenge)
Chicago Machine,13,Sub Zero,9,Chesapeake Invite (TCT Pro-Elite Challenge)
Chain Lightning,10,Truck Stop,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Florida United,13,HIGH FIVE,7,Chesapeake Invite (TCT Pro-Elite Challenge)
Chicago Machine,7,Chain Lightning,13,Chesapeake Invite (TCT Pro-Elite Challenge)
Sub Zero,8,Florida United,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Truck Stop,9,HIGH FIVE,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Chicago Machine,13,Florida United,5,Chesapeake Invite (TCT Pro-Elite Challenge)
Chain Lightning,12,HIGH FIVE,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Sub Zero,7,Truck Stop,13,Chesapeake Invite (TCT Pro-Elite Challenge)
Chicago Machine,13,HIGH FIVE,7,Chesapeake Invite (TCT Pro-Elite Challenge)
Chain Lightning,12,Sub Zero,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Florida United,11,Truck Stop,12,Chesapeake Invite (TCT Pro-Elite Challenge)
Chicago Machine,12,Truck Stop,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Chain Lightning,13,Florida United,7,Chesapeake Invite (TCT Pro-Elite Challenge)
Sub Zero,10,HIGH FIVE,12,Chesapeake Invite (TCT Pro-Elite Challenge)
Chicago Machine,13,Chain Lightning,8,Chesapeake Invite (TCT Pro-Elite Challenge)
PoNY,6,Chicago Machine,13,Chesapeake Invite (TCT Pro-Elite Challenge)
Chain Lightning,13,Ring of Fire,9,Chesapeake Invite (TCT Pro-Elite Challenge)
PoNY,9,Ring of Fire,12,Chesapeake Invite (TCT Pro-Elite Challenge)
Doublewide,14,GOAT,13,Chesapeake Invite (TCT Pro-Elite Challenge)
Doublewide,12,Florida United,8,Chesapeake Invite (TCT Pro-Elite Challenge)
GOAT,12,Truck Stop,10,Chesapeake Invite (TCT Pro-Elite Challenge)
Florida United,12,Truck Stop,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Sub Zero,11,HIGH FIVE,9,Chesapeake Invite (TCT Pro-Elite Challenge)
Madcow,8,Sub Zero,13,Chesapeake Invite (TCT Pro-Elite Challenge)
Boost FC,8,HIGH FIVE,10,Chesapeake Invite (TCT Pro-Elite Challenge)
Madcow,10,Boost FC,11,Chesapeake Invite (TCT Pro-Elite Challenge)
Oaks,10,Beachfront Property,13,San Diego Slammer
Voodoo,7,Sprawl,13,San Diego Slammer
Streetgang,13,Choice City Hops,3,San Diego Slammer
Streetgang,12,Sprawl,11,San Diego Slammer
Choice City Hops,8,Beachfront Property,13,San Diego Slammer
Voodoo,13,Oaks,7,San Diego Slammer
Streetgang,13,Oaks,3,San Diego Slammer
Voodoo,13,Beachfront Property,9,San Diego Slammer
Sprawl,13,Choice City Hops,6,San Diego Slammer
Oaks,13,Choice City Hops,7,San Diego Slammer
Streetgang,13,Voodoo,10,San Diego Slammer
Sprawl,6,Beachfront Property,13,San Diego Slammer
Voodoo,13,Choice City Hops,5,San Diego Slammer
Sprawl,13,Oaks,7,San Diego Slammer
Streetgang,13,Beachfront Property,8,San Diego Slammer
PowderHogs,13,Air Show,6,San Diego Slammer
Inception,13,Renegade,8,San Diego Slammer
Madison Club,13,The Ghosts,1,San Diego Slammer
Madison Club,13,Renegade,4,San Diego Slammer
The Ghosts,13,Air Show,5,San Diego Slammer
Inception,12,PowderHogs,10,San Diego Slammer
PowderHogs,11,The Ghosts,13,San Diego Slammer
Madison Club,13,PowderHogs,6,San Diego Slammer
Inception,13,Air Show,4,San Diego Slammer
Renegade,15,The Ghosts,14,San Diego Slammer
Madison Club,15,Inception,13,San Diego Slammer
Renegade,13,Air Show,5,San Diego Slammer
Inception,13,The Ghosts,8,San Diego Slammer
Renegade,5,PowderHogs,13,San Diego Slammer
Madison Club,13,Air Show,4,San Diego Slammer
Sprawl,12,Madison Club,15,San Diego Slammer
Streetgang,12,Sprawl,15,San Diego Slammer
Beachfront Property,10,Madison Club,15,San Diego Slammer
Streetgang,13,The Ghosts,3,San Diego Slammer
Sprawl,13,Inception,10,San Diego Slammer
PowderHogs,8,Beachfront Property,13,San Diego Slammer
Voodoo,8,Madison Club,13,San Diego Slammer
Oaks,5,Renegade,13,San Diego Slammer
Oaks,15,Air Show,3,San Diego Slammer
Choice City Hops,12,Renegade,14,San Diego Slammer
Air Show,8,Choice City Hops,15,San Diego Slammer
The Ghosts,5,Inception,13,San Diego Slammer
PowderHogs,10,Voodoo,13,San Diego Slammer
Prairie Fire,15,Kentucky Flying Circus,7,Huckfest
Six Pack,17,Ironmen,16,Huckfest
Prairie Fire,15,Ironmen,2,Huckfest
Six Pack,17,Kentucky Flying Circus,16,Huckfest
Prairie Fire,15,Six Pack,8,Huckfest
Kentucky Flying Circus,9,Ironmen,15,Huckfest
PLEX,15,Jockamo,11,Huckfest
Freaks Uv Nature,15,Cash Crop,12,Huckfest
PLEX,15,Cash Crop,13,Huckfest
Freaks Uv Nature,15,Jockamo,13,Huckfest
Jockamo,13,Cash Crop,15,Huckfest
PLEX,15,Freaks Uv Nature,8,Huckfest
Space City Ignite,15,CaSTLe,7,Huckfest
Southern Hospitality,15,Strong Hand,8,Huckfest
Space City Ignite,15,Strong Hand,7,Huckfest
Southern Hospitality,15,CaSTLe,7,Huckfest
CaSTLe,15,Strong Hand,7,Huckfest
Space City Ignite,11,Southern Hospitality,14,Huckfest
Queen City Thunder,13,Howlers,14,Huckfest
Prairie Squids,15,Freaky Too,4,Huckfest
Queen City Thunder,15,Freaky Too,13,Huckfest
Prairie Squids,15,Howlers,13,Huckfest
Queen City Thunder,13,Prairie Squids,14,Huckfest
Howlers,15,Freaky Too,9,Huckfest
Smokestack,15,Pocket City Approach,8,Huckfest
Shotgun,15,Riders of Brohan,4,Huckfest
Smokestack,15,Riders of Brohan,2,Huckfest
Shotgun,16,Pocket City Approach,15,Huckfest
Smokestack,15,Shotgun,10,Huckfest
Pocket City Approach,15,Riders of Brohan,1,Huckfest
Crude Ultimate,10,Blade,15,Huckfest
Jurassic,15,Lagniappe,10,Huckfest
Crude Ultimate,15,Lagniappe,6,Huckfest
Jurassic,6,Blade,15,Huckfest
Crude Ultimate,15,Jurassic,6,Huckfest
Blade,15,Lagniappe,10,Huckfest
Prairie Fire,15,Freaks Uv Nature,4,Huckfest
Six Pack,15,Space City Ignite,13,Huckfest
Ironmen,15,Howlers,6,Huckfest
Cash Crop,15,Shotgun,7,Huckfest
CaSTLe,15,Crude Ultimate,10,Huckfest
Kentucky Flying Circus,15,Blade,6,Huckfest
Jockamo,10,Smokestack,13,Huckfest
Strong Hand,15,Prairie Squids,11,Huckfest
Queen City Thunder,15,Riders of Brohan,4,Huckfest
Pocket City Approach,15,Lagniappe,12,Huckfest
Jurassic,15,Freaky Too,13,Huckfest
PLEX,16,Southern Hospitality,14,Huckfest
Prairie Fire,13,PLEX,5,Huckfest
Prairie Fire,13,Cash Crop,4,Huckfest
Six Pack,10,PLEX,12,Huckfest
Prairie Fire,13,Kentucky Flying Circus,1,Huckfest
Southern Hospitality,7,Cash Crop,13,Huckfest
Six Pack,13,Freaks Uv Nature,8,Huckfest
PLEX,13,Ironmen,8,Huckfest
Space City Ignite,10,Kentucky Flying Circus,13,Huckfest
Cash Crop,14,Strong Hand,12,Huckfest
Freaks Uv Nature,13,Smokestack,10,Huckfest
Ironmen,13,CaSTLe,9,Huckfest
Kentucky Flying Circus,6,Southern Hospitality,9,Huckfest
Kentucky Flying Circus,12,Freaks Uv Nature,11,Huckfest
Southern Hospitality,12,Ironmen,11,Huckfest
Space City Ignite,13,Strong Hand,7,Huckfest
Space City Ignite,13,Smokestack,10,Huckfest
Strong Hand,13,CaSTLe,3,Huckfest
Jockamo,13,Crude Ultimate,4,Huckfest
Blade,6,Jockamo,13,Huckfest
Prairie Squids,9,Crude Ultimate,13,Huckfest
Blade,13,Queen City Thunder,11,Huckfest
Jockamo,13,Howlers,6,Huckfest
Prairie Squids,14,Pocket City Approach,12,Huckfest
Crude Ultimate,13,Shotgun,7,Huckfest
Queen City Thunder,13,Lagniappe,4,Huckfest
Howlers,13,Riders of Brohan,4,Huckfest
Pocket City Approach,13,Jurassic,6,Huckfest
Shotgun,13,Freaky Too,11,Huckfest
Howlers,W,Shotgun,F,Huckfest
Queen City Thunder,7,Howlers,13,Huckfest
Pocket City Approach,6,Shotgun,12,Huckfest
Lagniappe,0,Jurassic,0,Huckfest
Lagniappe,13,Freaky Too,8,Huckfest
Jurassic,13,Riders of Brohan,9,Huckfest
Smokestack,F,CaSTLe,W,Huckfest
Queen City Thunder,0,Pocket City Approach,0,Huckfest
Freaky Too,13,Riders of Brohan,6,Huckfest
Pilot,13,Swell,6,Stonewalled 2014
Deadrise,11,NC Hammer,6,Stonewalled 2014
Medicine Men,13,Swell,1,Stonewalled 2014
Pilot,13,Deadrise,4,Stonewalled 2014
Swell,13,Deadrise,3,Stonewalled 2014
Medicine Men,13,NC Hammer,0,Stonewalled 2014
Medicine Men,13,Deadrise,3,Stonewalled 2014
Pilot,13,NC Hammer,5,Stonewalled 2014
Medicine Men,13,Pilot,4,Stonewalled 2014
Swell,13,NC Hammer,3,Stonewalled 2014
Richmond Floodwall,15,VAlhalla,3,Stonewalled 2014
RUNTIME,15,Carolina Sky,12,Stonewalled 2014
Richmond Floodwall,15,Carolina Sky,7,Stonewalled 2014
RUNTIME,15,VAlhalla,10,Stonewalled 2014
Richmond Floodwall,15,RUNTIME,7,Stonewalled 2014
VAlhalla,15,Carolina Sky,9,Stonewalled 2014
Triforce,12,YAK (You Already Know),13,Stonewalled 2014
Supernova,15,SAVAGEandahalf,13,Stonewalled 2014
Triforce,13,SAVAGEandahalf,11,Stonewalled 2014
Supernova,12,YAK (You Already Know),13,Stonewalled 2014
Triforce,9,Supernova,11,Stonewalled 2014
YAK (You Already Know),14,SAVAGEandahalf,8,Stonewalled 2014
VAlhalla,9,Triforce,11,Stonewalled 2014
Carolina Sky,5,SAVAGEandahalf,13,Stonewalled 2014
Deadrise,11,Carolina Sky,13,Stonewalled 2014
VAlhalla,10,SAVAGEandahalf,12,Stonewalled 2014
Deadrise,5,SAVAGEandahalf,13,Stonewalled 2014
VAlhalla,15,NC Hammer,0,Stonewalled 2014
VAlhalla,15,Deadrise,5,Stonewalled 2014
SAVAGEandahalf,13,NC Hammer,5,Stonewalled 2014
Carolina Sky,F,NC Hammer,W,Stonewalled 2014
Medicine Men,12,Richmond Floodwall,15,Stonewalled 2014
Medicine Men,15,RUNTIME,8,Stonewalled 2014
Pilot,10,Richmond Floodwall,15,Stonewalled 2014
Medicine Men,15,Triforce,13,Stonewalled 2014
Supernova,12,RUNTIME,15,Stonewalled 2014
YAK (You Already Know),11,Pilot,15,Stonewalled 2014
Richmond Floodwall,15,Swell,4,Stonewalled 2014
Triforce,F,YAK (You Already Know),W,Stonewalled 2014
Triforce,15,Supernova,13,Stonewalled 2014
YAK (You Already Know),14,Swell,9,Stonewalled 2014
Pilot,13,RUNTIME,11,Stonewalled 2014
Supernova,W,Swell,F,Stonewalled 2014
